Catalogue/Guide Number,DOR ID,Inventory Number,Artist/Maker,Title,Group,Location,Site,Pleiades,TGN,TGN Web View,Begin Date,End Date,Date,Classification,Typology,Object Name,Medium,AAT,AAT Web View,Munsell,Height (cm),Width (cm),Depth (cm),Length (cm),Diameter (cm),Dimensions,Object Description,Culture,Image URL,Collection Page URL
cat. 27,29668,96.AD.164,,Statuette of a Seated Comic Actor,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-400,-200,Fourth-third centuries BC,Sculpture,Statuette,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3,10.3,4.1,,,,H: 10.3 cm; W: 4.1 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/03562301.jpg,http://www.getty.edu/art/collection/objects/29668
cat. 28,8355,78.AD.295,,Statuette of a Seated Old Woman,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-400,-200,400-200 BC,Sculpture,Statuette,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/4,11.5,5,,,,H: 11.5 cm; W: 5 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/00950101.jpg,http://www.getty.edu/art/collection/objects/8355
cat. 29,29626,96.AD.166,,Statuette of a Mime,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-225,-175,225-175 BC,Sculpture,Statuette,,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,5 yr 7/8,18.9,,,,,H: 18.9 cm; Diam (vent hole): 2 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/03558001.jpg,http://www.getty.edu/art/collection/objects/29626
cat. 30,103247,96.AD.246,,Statuette of a Dancer,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-400,-200,400-200 BC,Sculpture,Statuette,Human figure,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/2-8/3,23.7,10.4,,,,H: 23.7 cm; W: 10.4 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/11031201.jpg,http://www.getty.edu/art/collection/objects/103247
cat. 31,103248,96.AD.247,,Comic Mask,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-300,-200,300-200 BC,Sculpture,Mask,Mask,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3-8/4,9,8.4,,,,H: 9 cm; W: 8.4 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/11031301.jpg,http://www.getty.edu/art/collection/objects/103248
cat. 32,6597,71.AD.137,,Statuette of Eros with a Deer,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-325,-250,325-250 BC,Sculpture,Statuette,Mythological figure ,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,10 yr 8/4,14.3,,,,,H: 14.3 cm; W (base): 11 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/00768701.jpg,http://www.getty.edu/art/collection/objects/6597
cat. 33,131421,71.AD.138,,Statuette of an Amazon,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-300,-200,300-200 BC,Sculpture,Statuette,Male figure,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 yr 7/8,11.4,8,,,,H: 11.4 cm; W: 8 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/00768801.jpg,http://www.getty.edu/art/collection/objects/131421
cat. 34,6676,71.AD.222,,Relief with Two Maenads,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-350,-300,350-300 BC,Implements,Relief,Plaque,Terracotta; Gilding ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300379350 ,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=gilding&logic=AND&note=&english=N&prev_page=1&subjectid=300379350,,6.4,15.2,,,,H: 6.4 cm; W: 15.2 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/00776601.jpg,http://www.getty.edu/art/collection/objects/6676
cat. 35,6675,71.AD.221,,Relief with a Fighting Arimasp,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-350,-300,350-300 BC,Sculpture,Relief,Plaque,Terracotta; Polychromy; Gilding ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962; http://vocab.getty.edu/aat/300379350,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300379350 ,,6.5,8,,,,H: 6.5 cm; W: 8 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/00776501.jpg,http://www.getty.edu/art/collection/objects/6675
cat. 36,6674,71.AD.220,,Relief with a Bull,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-350,-300,350-300 BC,Sculpture,Relief,Plaque,Terracotta; Gilding ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300379350 ,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=gilding&logic=AND&note=&english=N&prev_page=1&subjectid=300379350,,5.8,8,,,,H: 5.8 cm; W: 8 cm,,,http://www.getty.edu/museum/media/images/web/enlarge/00776401.jpg,http://www.getty.edu/art/collection/objects/6674
cat. 37,15226,80.AD.39.1,,Relief with Two Griffins Attacking a Deer,,Taranto region,Taranto and the Apulian Region,http://pleiades.stoa.org/places/442469,http://vocab.getty.edu/tgn/7010380,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7010380,-350,-300,350-300 BC,Jewelry,Relief,Applique,Terracotta; Gilding ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300379350 ,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=gilding&logic=AND&note=&english=N&prev_page=1&subjectid=300379350,,2.6,4.6,,,,Fragment 1. H: 2.6 cm; W: 4.6cm,,,http://www.getty.edu/museum/media/images/web/enlarge/01868901.jpg,http://www.getty.edu/art/collection/objects/15226
